Category,Bedrooms,Bathrooms,SUVs,Cars,Garages,Domestic Help Rooms,Age of House,House Area,Price
Premium,3.0,4.0,1.0,1.0,2.0,,8.0,,18149000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1100.0,16786000.0
Economy,1.0,1.0,0.0,,1.0,1.0,10.0,350.0,3782000.0
Premium,2.0,1.0,1.0,,2.0,1.0,-2.0,1220.0,20922000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,340.0,3977000.0
Ultra Luxury,5.0,4.0,1.0,3.0,4.0,3.0,0.0,3210.0,70458000.0
Ultra Luxury,6.0,7.0,2.0,1.0,3.0,4.0,5.0,3940.0,68454000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,3574000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1510.0,17096000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,8.0,1460.0,21874000.0
Economy,1.0,2.0,0.0,1.0,1.0,,,320.0,2790000.0
Luxury,3.0,2.0,2.0,2.0,4.0,2.0,10.0,2120.0,32777000.0
Economy,1.0,1.0,0.0,,1.0,1.0,,340.0,4256000.0
Luxury,3.0,,2.0,2.0,4.0,,8.0,,37242000.0
Premium,3.0,4.0,1.0,1.0,2.0,2.0,12.0,1660.0,28415000.0
Luxury,3.0,,,2.0,4.0,2.0,10.0,1950.0,
Premium,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1500.0,20622000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,3260000.0
Ultra Luxury,6.0,5.0,1.0,,3.0,3.0,2.0,3910.0,89200000.0
Luxury,3.0,,1.0,2.0,3.0,3.0,,1990.0,36155000.0
Premium,3.0,2.0,1.0,1.0,,1.0,2.0,,13679000.0
Premium,2.0,2.0,1.0,1.0,2.0,2.0,12.0,1150.0,22632000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,-1.0,1530.0,24491000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1470.0,23661000.0
Premium,3.0,,,1.0,2.0,1.0,-2.0,1650.0,24331000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,,1230.0,15474000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,330.0,3650000.0
Ultra Luxury,5.0,4.0,1.0,3.0,4.0,3.0,-2.0,3340.0,
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,0.0,2050.0,32224000.0
Ultra Luxury,6.0,6.0,2.0,1.0,3.0,4.0,0.0,3930.0,68544000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,360.0,4007000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,5.0,360.0,4601000.0
Economy,1.0,,0.0,1.0,1.0,1.0,10.0,290.0,2904000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,-1.0,1090.0,14030000.0
Economy,1.0,,0.0,1.0,1.0,1.0,-2.0,370.0,2789000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,310.0,2993000.0
Economy,1.0,2.0,0.0,1.0,,1.0,8.0,310.0,2649000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,330.0,4458000.0
Economy,1.0,1.0,,1.0,1.0,,-1.0,310.0,3476000.0
Luxury,4.0,3.0,2.0,1.0,3.0,3.0,5.0,2440.0,
Ultra Luxury,4.0,5.0,2.0,2.0,4.0,4.0,2.0,2920.0,59223000.0
Economy,1.0,1.0,,1.0,1.0,1.0,2.0,300.0,3129000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,330.0,3801000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,10.0,1640.0,19575000.0
Luxury,4.0,3.0,2.0,,4.0,1.0,15.0,2480.0,33217000.0
Premium,,1.0,1.0,1.0,2.0,1.0,2.0,1080.0,9260000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,3149000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,,1600.0,33298000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,380.0,4463000.0
Economy,1.0,1.0,,1.0,1.0,1.0,,300.0,4024000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1670.0,29877000.0
Ultra Luxury,6.0,7.0,,3.0,5.0,4.0,,4260.0,86856000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1640.0,25986000.0
Ultra Luxury,5.0,4.0,1.0,,3.0,3.0,0.0,3280.0,67067000.0
Luxury,3.0,2.0,1.0,2.0,3.0,1.0,,1850.0,29016000.0
Ultra Luxury,4.0,,2.0,,4.0,1.0,-1.0,2580.0,41994000.0
Premium,3.0,3.0,1.0,1.0,2.0,1.0,-1.0,1560.0,23263000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,2315000.0
Premium,2.0,1.0,1.0,1.0,2.0,,5.0,1250.0,21981000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1200.0,9587000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,,17855000.0
Luxury,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2120.0,20310000.0
Luxury,3.0,2.0,1.0,2.0,3.0,3.0,12.0,1980.0,35872000.0
Luxury,4.0,5.0,1.0,1.0,2.0,3.0,5.0,2430.0,34950000.0
Luxury,3.0,4.0,2.0,2.0,4.0,1.0,-1.0,1980.0,32372000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1560.0,23828000.0
Economy,,1.0,0.0,1.0,1.0,1.0,,350.0,4538000.0
Premium,2.0,3.0,1.0,1.0,2.0,1.0,-1.0,,12573000.0
Premium,3.0,,1.0,1.0,2.0,2.0,15.0,1660.0,19061000.0
Premium,2.0,,,1.0,2.0,2.0,2.0,1230.0,12516000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,300.0,3773000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,,3503000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,350.0,3862000.0
Luxury,3.0,2.0,2.0,1.0,3.0,3.0,8.0,2070.0,33271000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,340.0,3457000.0
Luxury,4.0,5.0,1.0,1.0,2.0,3.0,0.0,2400.0,
Premium,2.0,,1.0,1.0,2.0,2.0,-2.0,1160.0,18015000.0
Premium,2.0,2.0,1.0,1.0,2.0,2.0,8.0,1210.0,17068000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,300.0,4246000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,-1.0,1590.0,22964000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,390.0,4418000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,310.0,3918000.0
Ultra Luxury,4.0,,2.0,2.0,4.0,2.0,2.0,2770.0,48362000.0
Economy,1.0,,0.0,1.0,,1.0,0.0,360.0,3485000.0
Ultra Luxury,6.0,5.0,2.0,2.0,4.0,,2.0,3980.0,73788000.0
Luxury,3.0,2.0,1.0,2.0,3.0,2.0,-2.0,1890.0,34531000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1020.0,12507000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,340.0,3746000.0
Premium,2.0,1.0,1.0,1.0,,2.0,5.0,1280.0,20619000.0
Ultra Luxury,4.0,3.0,3.0,2.0,5.0,3.0,12.0,3120.0,
Premium,2.0,,1.0,1.0,,1.0,,1190.0,21154000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,360.0,4552000.0
Premium,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1290.0,10739000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,-1.0,1490.0,10076000.0
Economy,1.0,1.0,,1.0,,1.0,2.0,310.0,
Premium,2.0,3.0,1.0,1.0,2.0,2.0,-2.0,,15917000.0
Ultra Luxury,6.0,5.0,1.0,1.0,2.0,2.0,0.0,3430.0,57612000.0
Luxury,3.0,2.0,,2.0,3.0,2.0,8.0,2020.0,27686000.0
Luxury,,4.0,1.0,2.0,3.0,1.0,-1.0,1910.0,34281000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,350.0,3941000.0
Luxury,3.0,2.0,1.0,1.0,2.0,3.0,10.0,1910.0,39038000.0
Premium,2.0,1.0,1.0,,2.0,2.0,2.0,1230.0,19488000.0
Ultra Luxury,5.0,4.0,1.0,3.0,4.0,2.0,-2.0,3400.0,53348000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,10.0,1270.0,21451000.0
Premium,2.0,,,1.0,2.0,1.0,5.0,1250.0,
Premium,3.0,2.0,1.0,1.0,2.0,,5.0,1460.0,17826000.0
Economy,1.0,1.0,0.0,,1.0,1.0,8.0,320.0,3048000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,310.0,3025000.0
Premium,2.0,3.0,1.0,1.0,2.0,1.0,-2.0,1110.0,25337000.0
Ultra Luxury,4.0,,2.0,1.0,3.0,3.0,2.0,,63210000.0
Economy,1.0,1.0,0.0,,1.0,1.0,-2.0,330.0,2732000.0
Luxury,4.0,5.0,1.0,1.0,2.0,2.0,8.0,2400.0,44383000.0
Luxury,4.0,3.0,1.0,,2.0,2.0,0.0,2310.0,
Premium,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1190.0,7154000.0
Luxury,4.0,3.0,1.0,2.0,3.0,1.0,5.0,,42895000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,310.0,3694000.0
Premium,3.0,3.0,1.0,,2.0,1.0,0.0,1450.0,20206000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,380.0,4500000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,360.0,3978000.0
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,0.0,2260.0,43513000.0
Luxury,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1800.0,28507000.0
Premium,2.0,2.0,1.0,1.0,2.0,1.0,10.0,1050.0,26329000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,370.0,3552000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,370.0,4392000.0
Ultra Luxury,6.0,5.0,2.0,1.0,,4.0,12.0,4220.0,82151000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,350.0,3644000.0
Economy,1.0,2.0,0.0,1.0,,1.0,8.0,340.0,3777000.0
Economy,1.0,,0.0,1.0,1.0,1.0,15.0,360.0,3210000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1510.0,20108000.0
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,5.0,2490.0,52518000.0
Premium,,3.0,1.0,1.0,2.0,2.0,5.0,,10816000.0
Luxury,4.0,3.0,1.0,2.0,3.0,2.0,0.0,2510.0,40699000.0
Economy,1.0,1.0,,1.0,1.0,1.0,10.0,360.0,4568000.0
Economy,1.0,,0.0,1.0,1.0,1.0,8.0,360.0,3944000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,-1.0,1110.0,17100000.0
Luxury,4.0,3.0,2.0,,4.0,2.0,0.0,,28057000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1540.0,15237000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,8.0,320.0,4135000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,340.0,3383000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,4449000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,8.0,,29527000.0
Economy,1.0,1.0,0.0,1.0,1.0,0.0,,260.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,330.0,
Luxury,4.0,3.0,1.0,1.0,2.0,3.0,-1.0,2550.0,49769000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,15.0,1160.0,9207000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1550.0,29851000.0
Ultra Luxury,4.0,3.0,3.0,1.0,4.0,2.0,5.0,3130.0,65414000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1050.0,22198000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1290.0,23543000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,330.0,3214000.0
Ultra Luxury,,4.0,,3.0,4.0,4.0,-2.0,3630.0,71780000.0
Luxury,3.0,2.0,1.0,2.0,3.0,,10.0,2040.0,
Ultra Luxury,6.0,5.0,3.0,1.0,4.0,,15.0,3940.0,72179000.0
Luxury,4.0,3.0,2.0,2.0,4.0,2.0,8.0,2400.0,38629000.0
,2.0,1.0,1.0,1.0,,2.0,2.0,1160.0,15479000.0
Premium,3.0,2.0,1.0,,2.0,2.0,10.0,1580.0,19160000.0
Luxury,3.0,2.0,2.0,,3.0,2.0,,2050.0,43517000.0
Luxury,3.0,3.0,2.0,1.0,3.0,2.0,-2.0,1990.0,42519000.0
Luxury,3.0,,2.0,2.0,4.0,2.0,-2.0,2130.0,38089000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1180.0,18780000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,380.0,4745000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,330.0,3638000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1490.0,26424000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,390.0,4652000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1650.0,16980000.0
Economy,1.0,1.0,0.0,1.0,,1.0,0.0,340.0,2802000.0
Economy,1.0,1.0,,1.0,1.0,1.0,0.0,380.0,3109000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1480.0,15540000.0
Luxury,4.0,3.0,2.0,,4.0,2.0,2.0,2610.0,46667000.0
Economy,1.0,2.0,0.0,,1.0,1.0,-1.0,340.0,3219000.0
Luxury,4.0,3.0,1.0,1.0,2.0,,2.0,2130.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,340.0,3862000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,,330.0,3683000.0
Luxury,4.0,3.0,1.0,1.0,2.0,2.0,12.0,2280.0,36943000.0
Ultra Luxury,5.0,4.0,1.0,2.0,3.0,,2.0,3070.0,55981000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,330.0,
Luxury,4.0,3.0,2.0,2.0,4.0,3.0,0.0,2400.0,39547000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-1.0,1430.0,25180000.0
Economy,1.0,1.0,0.0,1.0,1.0,0.0,2.0,230.0,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,8.0,340.0,3700000.0
Ultra Luxury,5.0,,2.0,3.0,5.0,3.0,,3720.0,
,1.0,1.0,0.0,1.0,1.0,1.0,10.0,300.0,3495000.0
Premium,3.0,3.0,1.0,1.0,2.0,2.0,2.0,,19874000.0
Economy,1.0,1.0,0.0,,1.0,1.0,-2.0,370.0,4812000.0
Economy,1.0,1.0,0.0,,1.0,1.0,8.0,320.0,4286000.0
Luxury,3.0,2.0,1.0,1.0,2.0,3.0,-2.0,1890.0,25102000.0
Economy,1.0,1.0,,1.0,1.0,1.0,,350.0,2434000.0
,3.0,2.0,1.0,1.0,2.0,2.0,15.0,1580.0,24332000.0
Luxury,4.0,3.0,1.0,2.0,3.0,2.0,0.0,2490.0,43817000.0
Economy,,1.0,0.0,1.0,1.0,1.0,0.0,360.0,4191000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,-2.0,1100.0,11428000.0
Economy,,2.0,0.0,1.0,1.0,,-1.0,370.0,3752000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,330.0,2996000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,320.0,4776000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,340.0,4045000.0
Premium,,1.0,1.0,1.0,2.0,2.0,12.0,1190.0,23662000.0
Economy,1.0,1.0,0.0,,1.0,1.0,2.0,310.0,
Ultra Luxury,4.0,5.0,3.0,2.0,5.0,,15.0,2970.0,55487000.0
Ultra Luxury,6.0,5.0,2.0,2.0,4.0,3.0,-2.0,4200.0,70618000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1490.0,16143000.0
Economy,1.0,2.0,,1.0,1.0,1.0,0.0,380.0,4652000.0
Premium,3.0,,1.0,1.0,2.0,2.0,0.0,,7532000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1200.0,
Premium,3.0,4.0,1.0,1.0,2.0,2.0,-1.0,1580.0,27696000.0
,5.0,6.0,2.0,1.0,3.0,3.0,5.0,3550.0,
Economy,1.0,2.0,0.0,1.0,1.0,1.0,10.0,380.0,3737000.0
Premium,3.0,4.0,1.0,,2.0,1.0,8.0,1470.0,30665000.0
Premium,2.0,2.0,1.0,1.0,2.0,1.0,-1.0,1180.0,12044000.0
Luxury,4.0,3.0,2.0,1.0,3.0,2.0,0.0,2520.0,42389000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,10.0,380.0,4778000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,340.0,2392000.0
Economy,1.0,1.0,,1.0,1.0,1.0,0.0,380.0,3283000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1250.0,12055000.0
Economy,1.0,,0.0,1.0,1.0,1.0,8.0,360.0,2713000.0
Luxury,4.0,3.0,,1.0,2.0,2.0,8.0,2090.0,53757000.0
Economy,1.0,1.0,0.0,1.0,,1.0,8.0,370.0,4494000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,300.0,3512000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,2.0,330.0,3659000.0
,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,310.0,3270000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1230.0,18930000.0
Ultra Luxury,6.0,5.0,1.0,3.0,4.0,2.0,5.0,3650.0,
Luxury,4.0,3.0,1.0,,3.0,1.0,-1.0,2160.0,32986000.0
Economy,1.0,1.0,0.0,,1.0,1.0,,380.0,3360000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,2.0,330.0,3181000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,310.0,3349000.0
Premium,2.0,,1.0,,2.0,2.0,-2.0,1160.0,9585000.0
,1.0,2.0,0.0,1.0,1.0,1.0,0.0,370.0,
Premium,3.0,2.0,1.0,1.0,2.0,1.0,,1550.0,20917000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,3254000.0
Luxury,3.0,2.0,1.0,2.0,3.0,2.0,2.0,,40334000.0
Ultra Luxury,5.0,4.0,2.0,3.0,5.0,3.0,,3610.0,80838000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,330.0,3049000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,340.0,4955000.0
Premium,3.0,2.0,1.0,,2.0,,2.0,1490.0,25491000.0
Premium,3.0,,1.0,1.0,2.0,1.0,0.0,1360.0,27423000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,8.0,,8939000.0
Premium,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1140.0,20177000.0
Premium,2.0,,1.0,1.0,2.0,2.0,12.0,,16863000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,8.0,340.0,3691000.0
Luxury,4.0,4.0,1.0,2.0,3.0,2.0,10.0,2460.0,39736000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,340.0,3509000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,2.0,370.0,4751000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,-1.0,330.0,3407000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,18018000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,340.0,2021000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,360.0,3639000.0
Ultra Luxury,5.0,4.0,1.0,2.0,3.0,2.0,0.0,3210.0,69608000.0
Economy,1.0,1.0,0.0,1.0,1.0,,0.0,320.0,3658000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1090.0,15656000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,310.0,2908000.0
Economy,1.0,1.0,0.0,,1.0,1.0,8.0,290.0,3671000.0
Luxury,3.0,4.0,2.0,1.0,3.0,2.0,12.0,1900.0,30572000.0
Economy,1.0,2.0,0.0,1.0,1.0,1.0,2.0,320.0,
Premium,3.0,2.0,1.0,1.0,2.0,1.0,,,
Premium,3.0,2.0,1.0,1.0,2.0,2.0,-2.0,,12755000.0
Premium,2.0,,1.0,1.0,2.0,1.0,10.0,1070.0,11151000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,2472000.0
Ultra Luxury,4.0,5.0,3.0,1.0,4.0,2.0,,2890.0,50253000.0
Luxury,4.0,5.0,,2.0,3.0,2.0,-1.0,2270.0,40263000.0
Ultra Luxury,6.0,5.0,2.0,3.0,5.0,3.0,8.0,4110.0,69659000.0
Premium,2.0,3.0,1.0,1.0,2.0,2.0,,1280.0,24322000.0
Economy,,1.0,,1.0,1.0,1.0,10.0,340.0,3218000.0
Luxury,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2100.0,41307000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,10.0,330.0,
Economy,1.0,2.0,0.0,1.0,1.0,1.0,0.0,370.0,
Economy,1.0,1.0,0.0,1.0,,1.0,15.0,340.0,3319000.0
Luxury,3.0,2.0,,2.0,3.0,3.0,2.0,1960.0,36995000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,340.0,3125000.0
Luxury,4.0,5.0,1.0,,2.0,2.0,2.0,2280.0,30687000.0
,3.0,2.0,1.0,2.0,3.0,1.0,8.0,1840.0,42306000.0
Economy,1.0,,0.0,1.0,1.0,1.0,0.0,380.0,4575000.0
Economy,1.0,1.0,,,1.0,,-2.0,290.0,3221000.0
Economy,,1.0,0.0,1.0,1.0,1.0,0.0,320.0,3191000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,350.0,3121000.0
Premium,,3.0,1.0,1.0,2.0,1.0,5.0,1470.0,25227000.0
,4.0,,1.0,1.0,2.0,2.0,2.0,2230.0,38500000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,310.0,3106000.0
Premium,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1090.0,21105000.0
,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1500.0,
,3.0,3.0,1.0,2.0,3.0,1.0,,1980.0,36419000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,350.0,4266000.0
Luxury,3.0,,2.0,1.0,3.0,3.0,-2.0,2210.0,30441000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,5.0,320.0,3382000.0
Premium,3.0,2.0,1.0,1.0,,2.0,,1590.0,
Luxury,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1990.0,36567000.0
Luxury,4.0,5.0,1.0,1.0,2.0,2.0,,2280.0,43540000.0
Luxury,4.0,3.0,,1.0,2.0,2.0,8.0,2160.0,31268000.0
,2.0,1.0,1.0,1.0,,2.0,8.0,1260.0,16515000.0
Premium,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1430.0,18041000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,330.0,
Economy,,1.0,0.0,1.0,1.0,1.0,-1.0,370.0,4548000.0
Economy,1.0,1.0,0.0,1.0,1.0,,-2.0,310.0,3032000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,330.0,
Luxury,3.0,2.0,2.0,2.0,4.0,3.0,0.0,2120.0,40644000.0
Economy,1.0,1.0,0.0,1.0,1.0,,-2.0,320.0,3162000.0
Luxury,4.0,3.0,2.0,1.0,,1.0,-1.0,2510.0,45551000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,,330.0,4258000.0
Luxury,4.0,5.0,2.0,1.0,3.0,2.0,2.0,2510.0,43616000.0
Luxury,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1870.0,31750000.0
Premium,3.0,2.0,1.0,1.0,2.0,2.0,5.0,1640.0,11740000.0
Economy,1.0,1.0,,1.0,1.0,1.0,5.0,310.0,3483000.0
Luxury,4.0,3.0,1.0,1.0,2.0,1.0,-2.0,2160.0,50259000.0
Premium,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1190.0,17333000.0
,1.0,1.0,0.0,1.0,1.0,1.0,2.0,350.0,
Premium,2.0,3.0,1.0,1.0,2.0,2.0,-1.0,1260.0,16638000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1480.0,25459000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,0.0,340.0,2914000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,15.0,310.0,3660000.0
Premium,3.0,2.0,1.0,1.0,2.0,1.0,,1520.0,22943000.0
Economy,,1.0,0.0,1.0,1.0,1.0,-1.0,330.0,2487000.0
Economy,1.0,1.0,0.0,1.0,1.0,1.0,12.0,,
Economy,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,370.0,3548000.0
